step,SARSA,Q_learning,double_Q_learning,QV_learning
228,0,0,0,0
229,82.527,90.748,81.784,97.315
229,0,0,0,0
230,39.0705,91.053,81.79,97.506
230,0,0,0,0
231,71.455,92.149,82.133,97.249
231,0,0,0,0
232,76.907,91.895,81.875,97.025
232,0,0,0,0
233,70.394,92.074,85.422,97.506
233,0,0,0,0
234,43.244,91.742,82.931,97.315
234,0,0,0,0
235,70.551,92.753,82.891,97.419
235,0,0,0,0
236,6.1255,92.805,87.916,97.277
236,0,0,0,0
237,67.1365,89.76,80.686,97.289
237,0,0,0,0
238,55.8475,93.327,87.145,97.398
238,0,0,0,0
239,64.5315,91.128,85.825,97.416
239,0,0,0,0
240,62.658,91.405,84.178,97.433
240,0,0,0,0
241,41.9895,91.763,84.144,97.25
241,0,0,0,0
242,79.645,94.321,88.199,97.633
242,0,0,0,0
243,-115.614,93.786,86.974,97.585
243,0,0,0,0
244,75.689,93.032,84.952,97.248
244,0,0,0,0
245,23.424,92.992,89.184,97.461
245,0,0,0,0
246,-4.5515,91.439,86.833,97.444
246,0,0,0,0
247,48.7205,92.858,86.295,97.367
247,0,0,0,0
248,-1.555,93.105,87.909,97.434
248,0,0,0,0
249,70.907,91.821,82.954,97.311
249,0,0,0,0
250,77.224,90.514,87.508,97.444
250,0,0,0,0
251,48.5955,91.659,88.526,97.484
251,0,0,0,0
252,65.393,93.002,82.849,97.429
252,0,0,0,0
253,81.24,94.342,91.016,97.674
253,0,0,0,0
254,13.905,92.064,82.958,97.46
254,0,0,0,0
255,73.8225,92.305,87.126,97.535
255,0,0,0,0
256,73.027,92.36,88.045,97.296
256,0,0,0,0
257,63.767,93.059,87.475,97.621
257,0,0,0,0
258,84.221,92.103,88.083,97.615
258,0,0,0,0
259,70.008,94.547,85.012,97.419
259,0,0,0,0
260,64.306,93.875,83.544,97.476
260,0,0,0,0
261,70.4505,92.568,85.084,97.487
261,0,0,0,0
262,82.12,92.642,85.768,97.52
262,0,0,0,0
263,19.6955,92.45,83.59,97.565
263,0,0,0,0
264,25.1435,92.746,86.063,97.464
264,0,0,0,0
265,78.997,92.895,82.89,97.51
265,0,0,0,0
266,-35.4305,92.64,90.211,97.604
266,0,0,0,0
267,57.341,93.339,85.206,97.555
267,0,0,0,0
268,65.394,93.68,88.357,97.36
268,0,0,0,0
269,82.3955,94.869,88.173,97.486
269,0,0,0,0
270,56.4905,93.074,87.37,97.411
270,0,0,0,0
271,32.0565,94.182,88.949,97.582
271,0,0,0,0
272,-56.5155,93.602,87.296,97.542
272,0,0,0,0
273,73.6765,92.463,90.464,97.482
273,0,0,0,0
274,65.1055,92.842,88.408,97.48
274,0,0,0,0
275,78.35,92.486,85.889,97.492
275,0,0,0,0
276,32.726,92.527,85.552,97.269
276,0,0,0,0
277,72.67,93.647,86.29,97.684
277,0,0,0,0
278,41.275,92.851,87.435,97.473
278,0,0,0,0
279,7.3075,94.136,84.56,97.487
279,0,0,0,0
280,-0.605,91.891,91.888,97.513
280,0,0,0,0
281,71.905,92.775,88.404,97.496
281,0,0,0,0
282,76.5075,94.376,88.161,97.563
282,0,0,0,0
283,69.334,92.049,88.867,97.465
283,0,0,0,0
284,-71.5875,94.016,88.754,97.479
284,0,0,0,0
285,59.4765,93.604,88.696,97.313
285,0,0,0,0
286,77.916,93.122,85.725,97.604
286,0,0,0,0
287,86.6715,94.181,87.805,97.583
287,0,0,0,0
288,54.682,93.569,89.299,97.42
288,0,0,0,0
289,79.8735,93.761,92.444,97.648
289,0,0,0,0
290,77.9475,93.603,89.323,97.664
290,0,0,0,0
291,67.09,93.624,84.872,97.531
291,0,0,0,0
292,79.0335,94.842,87.909,97.396
292,0,0,0,0
293,73.525,94.243,88.229,97.199
293,0,0,0,0
294,32.323,92.882,85.913,97.483
294,0,0,0,0
295,81.0395,94.899,85.47,97.327
295,0,0,0,0
296,4.76,94.725,89.383,97.579
296,0,0,0,0
297,76.3955,93.728,88.475,97.417
297,0,0,0,0
298,78.755,94.972,88.655,97.484
298,0,0,0,0
299,73.07,94.74,86.889,97.46
299,0,0,0,0
300,63.783,93.721,86.979,97.667
300,0,0,0,0
301,5.492,95.811,89.525,97.545
301,0,0,0,0
302,67.2345,94.335,87.629,97.507
302,0,0,0,0
303,57.101,94.756,87.279,97.554
303,0,0,0,0
304,75.2155,94.504,85.033,97.655
304,0,0,0,0
305,7.145,94.403,85.231,97.505
305,0,0,0,0
306,4.5175,94.538,90.502,97.515
306,0,0,0,0
307,10.9435,94.478,84.69,97.411
307,0,0,0,0
308,79.76,95.041,88.159,97.442
308,0,0,0,0
309,29.5695,91.405,88.524,97.3
309,0,0,0,0
310,85.638,94.372,88.872,97.597
310,0,0,0,0
311,-17.929,94.319,91.247,97.565
311,0,0,0,0
312,-15.471,94.867,88.542,97.549
312,0,0,0,0
313,76.8865,95.119,91.452,97.52
313,0,0,0,0
314,-1158.04,95.22,90.115,97.439
314,0,0,0,0
315,-1842.58,93.974,88.052,97.653
315,0,0,0,0
316,33.3495,95.938,85.96,97.705
316,0,0,0,0
317,85.902,93.532,86.342,97.604
317,0,0,0,0
318,88.9395,94.461,87.005,97.439
318,0,0,0,0
319,74.2275,94.556,91.173,97.433
319,0,0,0,0
320,85.2015,94.853,91.181,97.551
320,0,0,0,0
321,66.197,94.482,92.51,97.505
321,0,0,0,0
322,14.3045,95.335,90.204,97.544
322,0,0,0,0
323,77.9725,94.786,89.74,97.477
323,0,0,0,0
324,-62.497,94.327,90.738,97.571
324,0,0,0,0
325,70.599,95.465,89.893,97.542
325,0,0,0,0
326,69.6775,94.744,88.215,97.585
326,0,0,0,0
327,84.6985,96.049,86.705,97.804
327,0,0,0,0
328,84.352,95.816,87.526,97.527
328,0,0,0,0
329,-0.5315,94.855,90.379,97.481
329,0,0,0,0
330,81.4105,94.038,89.992,97.546
330,0,0,0,0
331,58.737,96.046,89.68,97.509
331,0,0,0,0
332,-25.4815,94.798,90.705,97.575
332,0,0,0,0
333,81.724,95.216,90.363,97.503
333,0,0,0,0
334,80.3635,94.873,88.525,97.511
334,0,0,0,0
335,74.884,95.369,92.128,97.629
335,0,0,0,0
336,83.949,95.41,88.364,97.485
336,0,0,0,0
337,66.9875,94.832,89.883,97.51
337,0,0,0,0
338,77.169,94.981,89.916,97.546
338,0,0,0,0
339,80.413,94.148,91.535,97.512
339,0,0,0,0
340,60.4755,96.026,90.676,97.551
340,0,0,0,0
341,68.437,95.168,84.985,97.544
341,0,0,0,0
342,88.7995,95.868,91.506,97.61
342,0,0,0,0
343,82.874,95.963,86.383,97.543
343,0,0,0,0
344,79.294,94.773,90.922,97.539
344,0,0,0,0
345,82.24,95.047,85.485,97.622
345,0,0,0,0
346,74.257,95.787,89.511,97.583
346,0,0,0,0
347,76.9155,95.255,91.965,97.556
347,0,0,0,0
348,75.363,96.007,91.067,97.503
348,0,0,0,0
349,86.3825,95.446,90.335,97.544
349,0,0,0,0
350,58.8005,94.946,92.095,97.549
350,0,0,0,0
351,84.731,95.584,90.917,97.54
351,0,0,0,0
352,72.162,95.993,89.778,97.705
352,0,0,0,0
353,78.7925,95.151,88.94,97.575
353,0,0,0,0
354,88.879,94.823,87.281,97.541
354,0,0,0,0
355,65.149,95.802,93.729,97.598
