step,SARSA,Q_learning,double_Q_learning,QV_learning
176,33.7095,89.5495,83.226,96.5415
176,0,0,0,0
177,28.11,89.0945,83.042,96.9065
177,0,0,0,0
178,43.8087,89.3925,82.6015,96.832
178,0,0,0,0
179,32.5987,90.0845,82.139,96.9065
179,0,0,0,0
180,41.024,89.847,84.0145,96.9425
180,0,0,0,0
181,6.158,90.4835,79.773,97.143
181,0,0,0,0
182,32.8728,90.167,78.044,97.0295
182,0,0,0,0
183,33.2007,88.5375,82.7785,97.266
183,0,0,0,0
184,55.291,89.2815,81.369,96.9705
184,0,0,0,0
185,-514.94,88.2045,80.4855,97.051
185,0,0,0,0
186,49.6705,90.9265,82.793,96.932
186,0,0,0,0
187,61.8703,89.889,82.6115,97.0185
187,0,0,0,0
188,40.2945,90.114,84.4075,97.0255
188,0,0,0,0
189,60.5705,90.3755,84.976,97.1435
189,0,0,0,0
190,7.29225,89.407,81.555,96.99
190,0,0,0,0
191,60.481,90.5765,84.0275,97.1255
191,0,0,0,0
192,0.671,89.7055,83.797,97.1355
192,0,0,0,0
193,14.344,93.006,85.3015,97.0065
193,0,0,0,0
194,4.4975,89.9265,84.212,97.043
194,0,0,0,0
195,69.9972,90.0285,80.3625,96.9665
195,0,0,0,0
196,41.894,90.698,85.186,97.091
196,0,0,0,0
197,69.3857,88.6805,80.711,96.9075
197,0,0,0,0
198,46.2472,91.1415,83.731,97.263
198,0,0,0,0
199,26.8105,91.647,80.6425,97.1555
199,0,0,0,0
200,40.7425,90.295,83.3965,97.309
200,0,0,0,0
201,-34.819,89.912,81.5775,97.2285
201,0,0,0,0
202,-129.815,91.6925,83.785,97.269
202,0,0,0,0
203,51.9765,91.059,83.045,96.9315
203,0,0,0,0
204,40.5985,90.8945,83.1145,97.1795
204,0,0,0,0
205,28.231,90.492,82.6635,97.2905
205,0,0,0,0
206,70.0558,91.295,82.8865,97.2485
206,0,0,0,0
207,66.533,91.287,82.4125,97.356
207,0,0,0,0
208,37.8092,91.5295,81.3775,97.358
208,0,0,0,0
209,72.547,88.891,82.451,97.137
209,0,0,0,0
210,66.7382,92.3645,84.4935,97.358
210,0,0,0,0
211,37.5067,91.057,82.8165,97.0925
211,0,0,0,0
212,43.43,91.0295,83.385,97.1805
212,0,0,0,0
213,67.5562,92.377,83.928,97.4365
213,0,0,0,0
214,76.2417,91.397,86.437,97.157
214,0,0,0,0
215,71.028,90.93,84.761,97.247
215,0,0,0,0
216,60.8453,91.151,84.92,97.332
216,0,0,0,0
217,70.8767,89.9895,80.901,97.3185
217,0,0,0,0
218,63.8793,90.6735,84.6125,97.455
218,0,0,0,0
219,73.0047,92.474,83.9585,97.5365
219,0,0,0,0
220,70.7903,91.987,84.042,97.2165
220,0,0,0,0
221,67.022,91.1345,85.655,97.3005
221,0,0,0,0
222,64.6153,92.197,85.066,97.3835
222,0,0,0,0
223,54.055,91.672,83.113,97.379
223,0,0,0,0
224,66.3603,92.017,85.232,97.1195
224,0,0,0,0
225,47.718,90.459,83.471,97.3815
225,0,0,0,0
226,10.8452,91.958,86.66,97.276
226,0,0,0,0
227,76.1105,91.554,83.6465,97.18
227,0,0,0,0
228,64.8682,91.1795,84.4365,97.331
228,0,0,0,0
229,64.6228,91.133,85.0945,97.502
229,0,0,0,0
230,32.3987,92.45,85.534,97.2735
230,0,0,0,0
231,63.9543,92.6515,85.763,97.415
231,0,0,0,0
232,59.4762,91.9455,84.9725,97.4225
232,0,0,0,0
233,59.3565,91.9155,85.922,97.322
233,0,0,0,0
234,-2.1095,92.296,86.6415,97.499
234,0,0,0,0
235,52.1237,91.4275,87.537,97.374
235,0,0,0,0
236,38.3822,92.7565,83.368,97.3935
236,0,0,0,0
237,62.4935,91.2305,84.3715,97.475
237,0,0,0,0
238,70.1865,91.3025,86.425,97.271
238,0,0,0,0
239,20.56,93.3675,85.516,97.483
239,0,0,0,0
240,65.251,91.63,85.7015,97.476
240,0,0,0,0
241,70.2562,91.925,84.9285,97.37
241,0,0,0,0
242,51.6747,90.8405,84.1555,97.4855
242,0,0,0,0
243,65.4813,92.723,88.1635,97.481
243,0,0,0,0
244,62.0915,91.8555,88.183,97.3275
244,0,0,0,0
245,67.9893,92.7995,87.704,97.399
245,0,0,0,0
246,39.1915,91.54,84.7455,97.3335
246,0,0,0,0
247,71.0868,92.8895,84.6455,97.257
247,0,0,0,0
248,75.8725,92.8945,85.1765,97.4165
248,0,0,0,0
249,66.939,91.669,84.814,97.282
249,0,0,0,0
250,59.2063,93.2125,87.744,97.395
250,0,0,0,0
251,-69.9632,92.933,85.979,97.495
251,0,0,0,0
252,73.6155,92.951,85.1185,97.461
252,0,0,0,0
253,70.0408,92.472,84.6575,97.3845
253,0,0,0,0
254,55.3105,92.673,87.506,97.492
254,0,0,0,0
255,78.5425,91.657,85.74,97.5395
255,0,0,0,0
256,62.1575,93.404,86.809,97.3305
256,0,0,0,0
257,51.7407,91.6915,86.803,97.4465
257,0,0,0,0
258,58.782,93.602,87.503,97.392
258,0,0,0,0
259,72.9463,92.864,88.081,97.454
259,0,0,0,0
260,84.9278,93.5315,89.124,97.5205
260,0,0,0,0
261,66.5233,93.311,87.208,97.437
261,0,0,0,0
262,19.4828,93.54,87.8615,97.5365
262,0,0,0,0
263,51.634,93.448,86.075,97.438
263,0,0,0,0
264,40.9367,93.072,85.6845,97.317
264,0,0,0,0
265,81.718,93.074,90.1575,97.3825
265,0,0,0,0
266,57.546,92.1495,88.4325,97.473
266,0,0,0,0
267,79.3992,93.248,89.162,97.52
267,0,0,0,0
268,80.7817,93.6615,89.2575,97.529
268,0,0,0,0
269,65.8098,93.034,83.9175,97.5455
269,0,0,0,0
270,76.739,92.223,87.694,97.4355
270,0,0,0,0
