step,SARSA,Q_learning,double_Q_learning,QV_learning
338,96.41,96.74,96.12,95.02
339,96.21,95.72,96.24,95.08
340,97.36,97.54,94.74,94.94
341,97.71,96.74,96.38,96.34
342,97.54,96.68,95.36,94.9
343,97.63,95,96.72,95.64
344,96.56,96,96.44,95.4
345,94.85,95.82,96.12,94.02
346,97.84,95.76,97.04,89.76
347,98.05,97.02,95.32,89.48
348,97.37,95.3,96.16,95.64
349,96.94,95.5,97.38,94.82
350,96.42,96.32,95.5,95.72
351,97.35,95.84,95.58,94.6
352,98.02,95.78,95.9,94.64
353,97.59,96.58,96.02,92.52
354,97.03,96.2,96.04,90.48
355,97.33,95.66,96.2,94.04
356,95.06,96.2,96.02,93.54
357,97.17,95.5,97.02,93.62
358,97.53,96.04,96.94,94.22
359,97.99,96.7,96.18,93.72
360,97.15,96.68,95.02,94.48
361,96.97,96.42,97.02,94.02
362,97.08,96.06,96.46,94.84
363,97.03,96.6,96.04,94.94
364,97.83,96.3,96.82,94.7
365,95.72,95.6,96.26,96.3
366,97.27,95.66,96.52,92.58
367,97.44,95.48,95.98,95.88
368,98.03,95.78,96.4,95.08
369,96.9,97.14,96.18,95.5
370,97.64,95.84,96.14,94.3
371,97.1,96.48,95.5,95.5
372,97,96.28,96.2,94.98
373,96.83,96.16,95.46,95.16
374,96.92,94.46,95.86,96.5
375,95.65,97.08,95.94,96.24
376,97.39,96.26,96.02,95.34
377,97.49,96.52,96.72,95.8
378,97.52,95.96,96.7,95.36
379,96.99,95.66,96.68,93.18
380,96.19,96.02,95.08,94.52
381,98.27,96.54,95.4,89.26
382,96.93,96.1,96.32,96
383,96.5,96.84,95.92,93.86
384,97.59,95.64,96.18,96.28
385,97.46,95.86,96.8,93.96
386,98.04,94.6,95.24,94.68
387,96.33,96.58,95.74,95.16
388,97.8,96.38,96.46,96.22
389,97.25,95.6,96.66,95.54
390,97.61,96.12,95.7,95.42
391,97.94,97.22,95.76,96.98
392,97.5,95.74,94.9,95.84
393,97.36,96.8,96.48,94.5
394,96.24,96.14,94.08,97.3
395,97.53,95.94,93.22,94.52
396,97.5,96.66,96.26,96.5
397,97.82,96.08,95.42,96.5
398,97.01,97.04,96.34,95
399,97.28,95.96,95.8,95.82
400,96.83,95.5,96.18,96.16
401,96.93,95.7,96.68,94.34
402,97,95.18,96.02,96.26
403,97.72,97.4,96.16,93.76
404,97.74,96.94,96,96.02
405,97.07,95.2,95.96,95.72
406,97.91,95.58,96.88,95.06
407,97.68,96.1,96.26,95.32
408,97.61,96.96,96.48,95.06
409,97.57,96.7,96.38,94.68
410,96.21,97,96.1,97.66
411,97.44,96.34,96.4,94.6
412,95.64,96.54,96.24,96.24
413,98.41,96.26,95.6,95.46
414,97.84,96.34,96.54,97
415,97.43,95.38,96.98,96.28
416,97.81,96.52,96.08,95.9
417,97.91,95.78,95.9,95.52
418,97.23,96.54,95.5,96.22
419,96.9,96.8,96.46,95.6
420,98.05,96.74,95.5,95.92
421,98.15,96.94,96.18,96.1
422,97.7,97.06,96.66,95.84
423,97.36,95.84,96.14,96.34
424,97.45,96.04,95.16,96
425,94.41,96.54,95.96,94.98
426,96.82,96.1,95.8,95.46
427,97.69,96.34,96.46,96.34
428,98.09,97.12,96.18,94.82
429,98.06,95.88,95.84,94.38
430,98.01,96.82,96.9,95.6
431,97.11,95.66,96.28,95.1
432,98.09,96.96,96.36,94.46
433,97.96,95.2,95.94,95.6
434,97.96,97.4,96.02,95.82
435,97.87,96.76,96.76,95.5
436,97.96,96.98,95.78,94.66
437,97.25,95.78,95.98,95.54
438,97.39,96.58,95.1,94.82
439,97.87,96.84,97.2,96.4
440,97.76,97.56,96.86,94.54
441,97.41,95.92,96.58,94.18
442,97.82,96.4,95.48,94.22
443,94.03,95.54,95.66,96.74
444,98.13,95.54,94.84,94.7
445,96.75,96.02,96.08,95.12
446,98.08,96.24,97.02,95.84
447,97.29,95.8,95.8,95.16
448,97.05,97.12,97.12,96.3
449,98.23,95.14,96.2,96.92
450,97.14,96.04,96.52,95.76
451,97.72,96.18,97.84,95.7
452,97.93,96.98,97.26,96.1
453,97.97,96.84,96.58,95
454,96.79,96.32,96.22,95.36
455,97.73,95.92,96.66,95.82
456,97.69,96.2,96.22,94.8
457,97.44,96,95.4,96.7
458,97.81,96.18,95.02,95.7
459,97.24,96.52,96.54,96.3
460,98.32,96.52,96.4,95.62
461,97.56,95.32,96.9,96.2
462,97.55,96.42,95.04,96.06
463,97.89,96.92,96.4,95.84
464,97.76,98.02,97.2,95.02
465,97.15,97.08,95.48,94.7
466,97.53,96.58,97.26,96.94
467,97.77,95.24,95.92,95.58
468,98.64,96,95.74,95.5
469,97.76,96.94,95.2,96.66
470,96.17,96.44,96.92,94.72
471,97.34,96.6,97,95.62
472,97.54,95.86,96.48,95.78
473,97.65,96.78,96.18,95.9
474,96.53,97.04,96.92,95.96
475,97.33,96.3,95.9,96.44
476,97.88,97.16,96.38,96.78
477,97.54,96.56,95.6,96.3
478,95.63,95.96,95.46,96.14
479,97.69,96.56,96.24,96.3
480,98.01,95.92,96.36,96.24
481,97.55,96.94,94.6,95.8
482,97.65,97.32,96.92,96.2
483,96.98,95.82,95.88,95
484,98.26,96.72,96,94.34
485,97.38,96.36,96.3,95.46
486,96.96,96.38,96.68,97.5
487,96.98,95.36,95.86,96.04
488,96.76,96.58,96.34,94.46
489,97.98,96.7,96.28,94.86
490,96.73,96.36,97.34,96.36
491,98.02,96.5,95.36,96.04
492,98.47,96.04,95.74,96.66
493,97.66,96.44,95.86,94.64
494,96.55,96.28,98.26,94.92
495,97.69,95.06,96.2,95.5
496,98,96.5,95.92,95.54
497,97.7,96.82,95.18,96
498,97.96,95.78,95.26,95.4
499,96.68,95.54,96.34,95.38
500,97.52,96.44,95.94,94.2
501,96.86,95.74,95.94,95.84
502,97.91,95.84,96.86,96.38
503,97.81,95.14,95.68,95.6
504,97.19,96.12,96.9,95.84
505,98.17,96.3,97,95.96
506,97.1,96.36,97,96.68
507,95.91,96.48,96.54,95.6
508,97.84,95.72,95.98,95.04
509,98.18,96.26,96,95.24
510,97.26,96.04,96.06,95.26
511,98.57,96.32,95.32,93.2
512,97.78,94.7,97.28,93.88
513,96.9,96.56,96.6,93.96
514,97.16,96.66,97,94.7
515,97.82,95.92,96.68,93.24
516,97.49,97.1,95.78,96.2
517,97.76,95.78,95.78,92.08
518,98.16,96.9,94.56,94.28
519,98.19,96.2,96.3,93.76
520,97.18,96.34,95.82,94.24
521,98.03,96.44,96.44,95.86
522,97.88,93.66,96.1,95.52
523,97.18,96.26,95.8,95.9
524,98.33,95.68,96.44,93.12
525,97.47,96.02,95.24,93.14
526,97.55,95.84,96.04,94.96
527,96.58,96.86,96.08,94.28
528,97.68,95.48,97.04,92.78
529,98.11,96.5,95.2,93.1
530,97.12,97.08,96.58,93.04
531,97.41,95.46,95.84,94.2
532,97.85,95.4,97.8,93.08
533,95.84,95.94,96.36,95
534,97.85,95.98,94.8,94.28
535,97.97,96.32,96.36,94.14
536,97.78,96.2,95.9,96.74
537,97.85,96,96.42,96.54
538,97.79,95.74,96.04,95.48
539,97.76,95.74,96.64,95.1
540,97.78,95.82,96.56,96.2
541,95.44,94.92,95.06,95.4
542,98,97.6,95.36,96.22
543,97.83,95.92,97.22,95.72
544,97.01,96.4,96.26,95.22
545,98.35,96.86,96.44,97.2
546,97.92,96.3,95.96,96.5
547,97.47,95.84,95.2,95.34
548,97.04,96.24,95.94,93.36
549,97.43,96.8,95.98,97.12
550,98.17,96.7,95.7,95.9
551,98.39,96.84,95.78,96.42
552,96.96,96.7,96.22,94.54
553,96.91,96.7,95.3,94.94
554,98.19,97.56,96.34,96.18
555,98.36,96.06,95.26,95.76
556,97.81,96.1,96.58,95.76
557,97.44,97.22,95.52,96.94
558,97.34,96.46,96.4,94.54
559,97.52,96.52,96.6,95.86
560,97.82,96.72,96.38,96.18
561,97.54,95.26,96.18,96.28
562,98.36,95.76,95.48,96.32
563,97.17,96.52,96.44,96.88
564,96.43,96.56,96.08,95.7
565,98.09,96.12,97.7,94.16
566,97.65,96.6,96.9,93.28
567,98.09,95.94,96.52,93.62
568,97.15,96.24,96.42,93.54
569,98.03,96.44,95.82,94
570,97.64,96.68,96.6,96.18
571,97.43,95.94,96.4,96.14
572,96.63,95.5,97.02,96.7
573,97.62,96.1,96.04,95.84
574,96.77,95.66,96.44,94.54
575,97.52,96.54,97.24,95.68
576,97.94,97.42,96.56,95.48
577,97.41,95.04,96.06,93.9
578,97.76,96.16,96.78,96.06
579,97.98,96.62,96.28,94.02
580,98.3,96.5,96.34,93.54
581,97.83,97.54,96.42,93.74
582,98.04,96.26,96.26,96.14
583,97.34,94.7,96.78,95.78
584,98.03,96.48,95.96,95.14
585,96.94,95.36,96.98,90.18
586,97.7,96.32,95.58,94.06
587,97.66,95.76,97.6,96.22
588,97.17,95.38,95.8,94.64
589,98.06,96.72,96.76,94.64
590,97.74,96.6,96.06,94.7
591,97.47,95.58,96.3,95.38
592,97.41,97.54,96.14,95.26
593,97.81,95.98,97.24,95.96
594,97.82,96.98,95.54,95.88
595,96.89,96.26,95.88,96.54
596,97.27,95.7,95.42,95.08
597,97.72,95.38,92.98,96.4
598,97.68,96.08,96.58,96.44
599,97.34,95.18,95.78,96.26
600,97.71,95.7,95.68,92
601,97.04,96.56,95.98,96.2
602,97.74,95.36,95.6,96.34
603,98.03,96.16,95.86,96.64
604,98.15,96.16,96.56,96.02
605,97.73,96.68,95.94,95.68
606,97.69,96.44,95.64,95.72
607,97.29,96.18,95.96,97.04
608,97.21,96.42,96.16,95.22
609,98.13,96.7,96.7,95.46
610,98.54,96.62,96.46,96.38
611,97.88,94.98,96.14,94.08
612,97.91,95.5,95.04,96.74
613,97.74,96.64,96.78,95.7
614,97.87,96.38,96.16,96.42
615,96.37,97.16,95.74,95.76
616,97.18,95.64,95.96,95.86
617,98.32,96.46,95.04,95.54
618,97.39,96.7,95.92,96.06
619,97.67,97.04,96.36,96.3
620,97.44,94.88,95.94,96.04
621,98.29,96.44,96.04,96.44
622,97.4,96.46,96.68,95.26
623,98.39,96.08,96.46,95.36
624,97.99,96.24,96.2,95.52
625,97.99,95.38,95.36,95.18
626,97.87,96.42,95.6,94.58
627,97.8,96.28,96.06,95.7
628,97.87,96.88,97.24,95.76
629,96.94,95.64,96.22,96.06
630,97.4,96.22,96.04,95.94
631,97.72,95.96,96.2,96.5
632,98.2,95.44,95.9,96.78
633,96.51,95.22,96.72,96.5
634,97.97,96.46,96.7,96.22
635,97.23,95.86,95.92,96.74
636,98,95.68,95.56,96.52
637,97.13,95.94,97.26,95.82
638,98.08,96.56,97.12,94.94
639,97.39,96.06,95.02,96.3
640,97.55,95.92,96.26,96.26
641,97.86,96.04,96.6,95.62
642,97.52,97.06,97.7,96.3
643,97.9,96.04,96.68,97
644,97.8,95.66,96.84,95.2
645,97.81,95.84,96.76,95.74
646,97.66,97.2,96.46,96.52
647,97.72,96.5,96.6,93.84
648,96.75,96.3,97.32,96.98
649,97.53,96.46,96.42,95.5
650,97.49,96.64,95.14,95.96
651,97.38,94.68,94.92,96.4
652,98.18,95.4,94.66,96.12
653,97.6,96.2,96.34,95.94
654,97.26,96.44,96.36,95.32
655,98.05,95.76,96.62,96.46
656,97.7,95.5,96.46,91.04
657,97.38,96.78,95.94,93.1
658,97.15,96.22,96.58,95.16
659,97.5,96.26,97.06,90.88
660,97.24,96.72,96.38,95.68
661,97.54,96.76,97.1,96.24
662,97.79,97.12,95.68,94.96
663,97.13,96.66,96.66,94.14
664,97.91,96.5,94.78,95.68
665,97.46,96.64,95.44,94.78
666,97.39,96.3,96.5,96
667,97.49,97.22,96.46,93.36
668,97.76,95.02,95.88,95.54
669,97.23,96.4,95.94,96.34
670,96.91,97.14,95.74,95.64
671,97.58,95.56,95.24,95.58
672,97.44,97.12,96.1,94.88
673,97.75,96.24,96.5,95.4
674,97.58,96.2,96.46,89.7
675,97.22,95.48,95.84,96.26
676,97.28,96.58,95.38,96.66
677,96.53,96.26,96.74,95.72
678,97.6,97.24,96.14,95.28
679,97.2,96.12,95.5,94.38
680,97.26,96.52,96.54,97
681,96.58,96.64,97.4,95.24
682,97.18,96.54,96.2,96.32
683,97.25,95.82,95.92,95.26
684,97.42,96.74,96.08,95.22
685,97.48,95.64,95.78,95.16
686,98.04,97.66,95.52,96.08
687,97.68,96.12,96.46,96.5
688,98.03,96.36,95.58,95.94
689,97.72,94.06,96.22,95.82
690,97.76,96.48,96.58,97.6
691,98.67,96.46,95.7,96.24
692,98.05,95.26,95.52,96.12
693,97.25,96.3,96.92,95.72
694,97.99,97.02,96,97.06
695,97.62,95.06,97.28,93.42
696,98.26,95.98,95.48,95.12
697,97.47,95.74,96.26,96.98
698,97.91,97.2,95.8,95.54
699,98.42,95.82,95.9,95.58
700,98.38,96.96,95.62,95.14
701,97.35,95.04,95.96,96.86
702,96.74,95.7,96.8,96.04
703,97.66,96.36,95.92,94.86
704,97.2,96.74,96.94,96.2
705,97.74,96.3,96.72,97.12
706,97.95,95.48,96.12,94.58
707,97.25,95.7,96.52,95.54
708,97.15,97.46,97,95.34
709,97.57,97.4,95,95.92
710,97.95,96.02,96.04,93.06
711,97.82,97.16,97.1,89.98
712,97.73,96.4,97.1,95.22
713,97.72,96.5,96.16,95.86
714,98.08,98.08,96.44,95
715,96.73,96.14,95.54,94.16
716,98,95.16,95.52,95.04
717,97.38,95.64,96.24,93.86
718,98.27,96.72,95.74,92.94
719,97.24,95.76,96.6,94.04
720,97.49,96.58,95.54,95.7
721,98.15,96.44,95.96,95.2
722,97.13,96.26,95.78,92.5
723,97.27,95.68,96.76,95.04
724,97.38,96.48,95.18,94.74
725,98.09,96.54,95.26,96.58
726,97.51,96.5,96.24,95
727,97.44,96.34,95.54,95.74
728,97.98,95.12,96.16,94.1
729,96.75,96.8,96.74,94.94
730,98.05,96.46,95.18,94
731,96.17,96.5,96.42,93.72
732,97.42,97.18,96.26,94.66
733,97.73,96.76,96.86,95.76
734,97.88,95.88,96.2,95.2
735,97.81,96.14,96.02,96.28
736,97.3,97.22,96.26,94.8
737,97.8,96.46,96.24,96.02
738,97.77,96.78,96.34,96.8
739,97.78,96.62,95.82,94.86
740,97.54,96.7,96.42,94.94
741,98.26,95.38,96.32,95.22
742,97.37,97.04,96.46,95.96
743,97.96,96.58,96.72,97.02
744,96.59,96.6,96.94,96.42
745,98.5,96.16,96.56,96.6
746,97.87,95.1,96.54,96.14
747,97.34,95.96,94.96,95.46
748,98.09,95.48,95.5,96.36
749,97.98,96.72,96.44,96.14
750,97.42,96.1,96.66,95.32
751,97.08,95.98,93.88,96.78
752,98.75,96.54,95.5,96.82
753,97.56,96.38,96.56,96.44
754,97.66,95.86,96.84,96.14
755,98.07,95.82,95.88,96.04
756,97.7,96.34,97.16,96.74
757,97.58,96.6,95.56,96.12
758,98.77,96.46,95.82,97.16
759,96.87,97.02,96.5,95.82
760,97.46,96.6,95.2,97
761,97.26,97.06,96.56,95.22
762,97.85,95.96,95.3,96.72
763,97.55,93.92,96.38,95.6
764,97.73,96.04,95.74,96.54
765,97.09,95.4,95.94,95.62
766,97.9,95.48,96.16,96.16
