step,SARSA,Q_learning,double_Q_learning,QV_learning
435,6,6,13,10
436,19,19,39,9
437,31,31,33,19
438,25,25,7,41
439,9,9,20,8
440,16,16,22,7
441,26,26,7,20
442,15,15,6,16
443,10,10,17,51
444,45,45,22,21
445,11,11,45,8
446,34,34,37,14
447,8,8,46,34
448,6,6,55,51
449,40,40,35,38
450,9,9,48,7
451,43,43,6,14
452,64,64,60,27
453,12,12,17,37
454,15,15,16,17
455,12,12,43,29
456,10,10,33,24
457,4,4,10,19
458,33,33,8,9
459,30,30,17,28
460,24,24,21,23
461,12,12,51,12
462,43,43,38,16
463,31,31,6,51
464,39,39,9,37
465,8,8,27,36
466,35,35,38,12
467,22,22,31,54
468,18,18,43,55
469,51,51,41,15
470,37,37,9,19
471,34,34,43,50
472,37,37,11,6
473,54,54,13,19
474,31,31,6,35
475,34,34,36,58
476,33,33,47,5
477,51,51,21,29
478,17,17,27,9
479,40,40,36,28
480,13,13,36,19
481,27,27,9,31
482,37,37,14,50
483,27,27,11,8
484,22,22,7,30
485,60,60,34,34
486,63,63,22,20
487,52,52,18,29
488,50,50,53,49
489,37,37,8,26
490,9,9,40,9
491,83,83,9,11
492,17,17,19,10
493,51,51,36,36
494,15,15,34,20
495,18,18,61,36
496,35,35,32,19
497,28,28,86,5
498,44,44,21,33
499,41,41,29,38
500,31,31,23,51
501,45,45,14,38
502,48,48,46,9
503,41,41,35,31
504,35,35,41,21
505,34,34,15,9
506,41,41,55,8
507,11,11,26,21
508,39,39,10,31
509,30,30,30,39
510,49,49,15,6
511,53,53,6,50
512,28,28,16,31
513,40,40,21,42
514,33,33,16,15
515,12,12,12,41
516,34,34,31,38
517,42,42,13,11
518,28,28,21,22
519,6,6,14,58
520,7,7,15,20
521,25,25,40,43
522,32,32,38,10
523,43,43,36,8
524,25,25,57,18
525,41,41,43,45
526,28,28,12,26
527,33,33,19,26
528,11,11,48,38
529,40,40,47,26
530,37,37,33,21
531,40,40,14,35
532,14,14,35,65
533,23,23,31,50
534,21,21,54,30
535,29,29,30,70
536,37,37,32,22
537,6,6,23,44
538,10,10,67,17
539,52,52,59,63
540,32,32,35,21
541,19,19,69,19
542,23,23,8,90
543,18,18,7,24
544,11,11,6,70
545,46,46,27,12
546,34,34,26,46
547,35,35,14,56
548,50,50,28,28
549,42,42,34,70
550,15,15,44,71
551,46,46,69,62
552,52,52,12,22
553,27,27,16,4
554,37,37,13,13
555,14,14,11,69
556,4,4,11,40
557,95,95,33,44
558,7,7,15,11
559,19,19,19,19
560,50,50,42,7
561,33,33,16,66
562,36,36,23,38
563,44,44,33,48
564,44,44,41,30
565,25,25,14,48
566,7,7,44,49
567,36,36,15,50
568,37,37,5,11
569,25,25,6,46
570,38,38,38,54
571,37,37,47,8
572,5,5,12,52
573,12,12,46,15
574,41,41,7,35
575,44,44,32,24
576,11,11,52,30
577,51,51,10,38
578,22,22,40,19
579,33,33,37,26
580,42,42,6,14
581,31,31,21,33
582,66,66,14,19
583,13,13,37,47
584,26,26,5,33
585,30,30,21,22
586,30,30,29,33
587,32,32,10,18
588,33,33,41,9
589,15,15,33,33
590,34,34,27,14
591,39,39,32,37
592,46,46,52,9
593,21,21,36,6
594,25,25,17,43
595,26,26,19,16
596,57,57,12,42
597,66,66,35,6
598,32,32,16,52
599,46,46,35,41
600,42,42,38,14
601,45,45,33,18
602,24,24,10,40
603,45,45,16,66
604,28,28,34,13
605,20,20,35,11
606,45,45,58,40
607,47,47,15,4
608,36,36,11,33
609,28,28,13,26
610,33,33,7,32
611,58,58,14,19
612,7,7,47,16
613,33,33,31,16
614,32,32,66,46
615,32,32,46,9
616,46,46,31,37
617,54,54,24,13
618,57,57,50,13
619,17,17,9,66
620,23,23,4,9
621,72,72,33,6
622,50,50,18,38
623,6,6,25,18
624,48,48,42,39
625,20,20,56,8
626,46,46,14,39
627,52,52,59,9
628,34,34,40,23
629,24,24,38,28
630,55,55,59,18
631,51,51,30,27
632,9,9,25,42
633,34,34,47,69
634,43,43,49,42
635,44,44,11,22
636,23,23,33,39
637,12,12,31,44
638,29,29,31,5
639,23,23,27,55
640,6,6,10,38
641,24,24,32,55
642,7,7,37,43
