step,SARSA,Q_learning,double_Q_learning,QV_learning,stdSarsa,stdQ,stddoubleQ,stdQV
137,88.3958,88.412,81.2644,92.4308137,19.7918,12.8886,30.3634,5.71546
138,89.1408,88.2096,83.4156,92.8444138,17.5409,13.6262,28.4683,5.78047
139,86.9352,87.6332,83.5812,92.7656139,23.2076,14.1792,27.6369,6.00429
140,88.8366,87.0172,84.1216,92.812140,19.402,14.8317,25.1155,5.17738
141,86.5848,87.7712,82.7888,92.276141,22.8433,14.5599,30.1213,6.13537
142,88.7718,87.0836,85.1216,92.5872142,17.3695,15.194,24.8993,5.96761
143,88.8004,88.24,84.2288,92.8616143,20.4119,13.5225,27.0383,4.4614
144,88.5036,86.7444,83.9336,92.412144,22.2188,15.3592,31.6172,7.05043
145,87.704,86.5108,84.7108,92.8376145,21.9594,17.2231,24.4908,5.54577
146,90.0542,88.602,84.3576,92.9876146,18.236,13.3621,25.7996,5.1
147,89.637,87.2408,86.0496,93.3016147,18.3457,17.2687,26.1148,4.4296
148,87.9828,87.8636,84.2448,92.7008148,20.1746,13.5367,25.9969,5.46485
149,88.823,87.8832,83.552,92.3844149,19.2038,14.8903,26.0319,5.66953
150,89.1162,87.2368,83.3556,93.0988150,18.6509,16.4332,26.8921,4.74991
151,89.4886,88.456,84.99,93.0336151,17.3882,12.3896,23.2619,4.83798
152,89.5558,87.48,84.1504,93.1292152,17.7764,14.9084,29.2373,4.90044
153,89.2622,87.714,84.8164,92.7628153,20.4919,14.9452,25.7231,5.70636
154,89.7044,88.2572,84.7248,93.1764154,18.23,13.4215,25.6979,4.71108
155,89.2236,88.298,83.3988,92.9288155,19.1244,12.8377,27.1885,4.77308
156,89.0326,87.9072,83.752,93.108156,18.4135,12.9035,29.8383,4.27813
157,89.998,87.5228,85.4556,92.8864157,16.1604,14.5388,22.5594,4.91618
158,88.9798,88.1376,85.4328,92.802158,18.2204,13.4414,25.1868,5.94093
159,89.5412,87.5372,85.732,92.6748159,19.466,13.5355,23.5262,5.32898
160,89.4714,88.8592,86.486,93.0952160,17.1878,11.6575,22.4856,4.41697
161,89.7422,86.7968,85.6392,92.9884161,18.9519,15.124,25.4597,4.70468
162,90.2142,88.8332,84.2984,93.0632162,17.1324,12.5283,25.5461,4.266
163,90.3002,88.21,84.0044,92.9916163,16.2824,12.6649,28.8462,4.55155
164,89.5982,88.284,82.8684,93.4448164,17.3428,12.9528,29.052,4.09133
165,88.957,87.7064,85.9228,92.9464165,20.3205,12.5671,26.4246,4.61665
166,89.4026,87.7164,83.1664,92.786166,17.6811,14.288,26.905,4.59303
167,90.6904,88.2308,85.466,93.0012167,14.4048,13.207,21.8227,4.84643
168,89.1922,87.11,85.8372,93.3164168,20.4704,13.0348,24.7625,3.96383
169,91.7792,88.6728,84.3232,93.1868169,14.2757,10.9757,26.7442,4.12187
170,89.5826,87.7524,85.8512,93.1372170,20.3798,13.1066,20.8994,4.02066
171,90.4526,87.7944,84.5052,93.4768171,16.3285,13.5681,26.5704,3.67924
172,90.7474,88.462,84.6616,93.2308172,15.1941,12.5528,24.2242,4.40982
173,89.7232,87.9824,85.2332,93.222173,18.0395,12.1637,24.906,4.36171
174,89.046,87.2904,86.0704,93.0768174,18.2835,12.1743,21.2306,3.98078
175,90.6678,87.958,85.5256,92.7948175,16.1575,11.4236,26.4701,4.80773
176,90.9388,87.3104,85.026,93.1056176,15.4376,12.9393,25.772,4.49537
