step,SARSA,Q_learning,double_Q_learning,QV_learning,stdSARSA,stdQ,stddoubleQ,stdQV
168,76.0388,94.1016,88.9284,97.3592168,120.705,9.15229,23.2692,1.60881
169,84.9098,94.66,87.4612,97.3628169,49.6182,8.09696,26.8593,1.6277
170,69.142,95.3016,90.1972,97.3424170,341.175,6.99811,18.931,1.66432
171,52.8858,93.7412,88.546,97.444171,648.19,9.78119,22.9757,1.41528
172,85.3864,94.3612,87.6116,97.4008172,52.7906,9.17889,25.7313,1.59534
173,76.1002,94.3544,89.9464,97.3588173,142.283,9.24527,23.3535,1.85433
174,87.4382,93.79,88.2836,97.3292174,30.5944,10.4453,25.2871,2.05777
175,85.4376,95.3248,88.474,97.2756175,43.8417,6.85896,26.2323,1.62804
176,74.6072,94.6552,89.1812,97.5976176,141.13,8.43657,21.7609,1.14129
177,77.9446,94.3912,90.2708,97.3812177,173.708,8.24437,20.5754,1.3517
178,81.8238,95.0036,89.4444,97.4484178,66.0548,7.94228,22.7856,1.50002
179,84.677,95.0648,89.254,97.4492179,40.6568,8.17405,26.9545,1.80924
180,62.8114,94.9568,91.7972,97.2436180,533.636,8.64447,15.2789,2.26368
181,84.8094,94.3032,87.7268,97.526181,49.7566,9.71021,28.315,1.27243
182,60.5132,95.6904,89.7012,97.2644182,287.064,6.77233,20.394,1.75488
183,54.2636,95.0796,89.39,97.3548183,443.661,8.20125,23.3984,1.72013
184,82.7072,94.672,88.9756,97.3704184,75.331,8.58275,21.9094,1.87947
185,83.613,95.3788,91.3096,97.3932185,64.8815,7.45806,21.0409,2.11309
186,80.9742,95.2456,90.2532,97.3244186,66.9511,7.06385,19.9569,1.87986
187,79.5534,94.76,88.0956,97.3796187,144.421,8.43989,28.7344,1.36996
188,85.614,95.5512,90.954,97.5232188,43.5742,6.80418,18.9695,1.20207
189,65.642,96.0332,90.6608,97.4604189,340.049,5.80866,18.1449,1.34585
190,62.9888,95.2524,90.2984,97.3384190,285.187,7.88918,22.9941,2.08239
191,78.8274,95.0968,90.8052,97.3336191,91.3993,8.53483,18.629,2.19481
192,83.6302,95.422,89.9268,97.4824192,64.9406,6.97367,25.156,1.27075
193,89.1134,95.5148,89.848,97.3076193,49.8866,7.9715,21.8246,2.6896
194,86.3756,95.3408,90.1488,97.4124194,42.9715,6.95675,19.4146,1.59201
195,78.063,95.6532,90.7004,97.4568195,227.999,6.26396,18.4893,1.89115
196,60.2138,95.1196,90.1832,97.428196,543.725,8.05454,23.3447,1.58584
197,88.0638,95.31,91.1316,97.338197,35.5262,7.63233,18.2317,3.01897
198,51.8122,95.6612,88.5436,97.4912198,682.54,6.2679,26.4348,1.06741
199,83.9206,95.7468,90.7552,97.5052199,53.876,6.57674,17.8119,1.29141
200,86.4288,95.4256,91.6132,97.504200,36.3651,7.93482,17.9754,1.3106
201,84.185,96.1612,90.4172,97.486201,98.4922,5.97219,21.1429,1.54134
202,54.0688,95.7992,89.888,97.5164202,624.108,6.63959,26.8769,1.10821
203,66.3396,96.2116,91.1916,97.3092203,293.637,5.29851,15.8117,2.33598
204,87.5952,96.2636,90.5848,97.4148204,58.4519,5.15007,21.2837,1.23244
205,87.5652,95.9792,89.3228,97.3356205,53.4129,5.89487,23.7863,1.81706
206,84.4446,96.6488,90.9216,97.5252206,68.2346,4.38198,17.9301,1.02875
207,81.0114,96.1328,90.588,97.4756207,146.275,5.69215,19.0638,1.29212
208,86.122,95.5876,90.1144,97.4156208,51.2424,7.05204,21.3909,3.5524
209,85.0106,96.1608,90.7104,97.4076209,51.8161,5.94514,19.6043,1.59344
210,86.0138,96.1412,89.7908,97.4352210,78.9781,5.08148,23.7135,1.35619
211,82.0898,95.34,89.3028,97.5596211,76.518,6.78752,23.021,1.12302
212,70.719,95.7984,90.9092,97.4452212,232.753,6.73738,20.5906,1.31208
213,74.2284,96.19,90.1896,97.3276213,156.864,5.66597,19.6725,1.73185
214,62.976,96.0608,90.454,97.386214,535.756,5.9239,20.6586,1.70008
215,89.2884,96.4076,91.1792,97.4956215,32.9239,4.524,22.2733,1.25426
216,87.9546,96.286,90.4212,97.4784216,33.0783,4.96743,20.3444,1.20655
217,69.2412,96.5136,90.7872,97.4292217,322.758,4.56653,21.8674,1.26486
218,87.0452,96.1476,91.6292,97.3188218,48.2844,5.69667,17.7637,1.88057
219,82.5648,95.986,91.6148,97.4944219,79.282,5.57047,19.0244,1.09152
220,85.2582,96.0812,90.422,97.5036220,61.7772,5.84852,24.7462,1.05227
221,80.8226,96.5936,91.8336,97.4108221,155.992,4.75978,16.8187,1.61561
222,84.0174,96.4072,92.1136,97.4952222,86.2746,4.75835,15.5128,1.23776
223,75.3068,96.6556,91.0388,97.3976223,266.183,4.08919,19.9326,1.76499
224,87.094,96.266,90.784,97.4456224,43.0832,4.88382,20.6882,0.994787
225,87.2752,96.1776,89.942,97.5608225,39.885,6.5519,24.7398,1.10391
226,83.4234,96.3948,91.504,97.5084226,95.9613,5.16363,19.0345,1.10215
227,71.4696,96.5816,91.5628,97.3868227,423.321,4.78568,16.245,1.50149
228,66.2354,96.3156,91.4524,97.3836228,444.372,5.57301,17.2321,1.40825
229,85.613,96.5912,91.6012,97.5228229,95.4486,4.25235,21.2866,1.2797
230,87.991,96.5304,90.098,97.4148230,28.7318,5.51714,21.2726,1.35824
231,86.8006,96.2032,91.828,97.4016231,54.5182,5.13312,19.0141,1.43516
232,67.0012,96.7096,91.3708,97.3624232,480.082,4.35851,17.3734,1.46856
233,88.1102,96.2172,91.0604,97.4764233,32.8465,5.21212,20.6201,1.26048
234,85.9528,96.6196,90.7092,97.3876234,86.1931,4.22761,18.6564,1.43128
235,89.2086,96.724,92.2836,97.548235,36.7275,4.11502,17.5208,1.50302
236,87.2196,96.534,92.3732,97.504236,46.5854,4.29231,16.3555,1.18925
237,88.39,96.9404,90.8304,97.4316237,41.5567,3.45233,19.5708,1.69735
238,87.8684,96.7128,90.9432,97.568238,45.7965,3.73373,21.3401,1.23279
239,86.6762,96.6652,90.7684,97.4468239,64.8293,3.76329,19.2889,1.3332
240,89.6058,96.556,90.2768,97.4708240,38.3491,4.77773,21.8216,1.82135
241,90.7264,96.5428,91.5304,97.4568241,20.777,4.78436,17.8875,1.43821
242,86.7024,96.7548,91.088,97.538242,61.5867,4.30013,20.8775,1.18338
243,90.1284,96.6584,91.5648,97.5292243,33.8453,4.43316,19.695,1.07034
244,47.4336,96.9628,92.6928,97.5488244,822.887,3.3071,16.3342,1.14337
245,76.0328,96.8528,93.6952,97.4332245,214.144,3.57826,12.6983,1.23765
246,86.5104,96.8756,93.0924,97.4352246,63.2034,3.68864,14.4276,1.2832
247,89.3444,96.7544,92.3296,97.478247,35.8459,3.67025,16.6721,1.50149
