epsilon = 0.5
learning_rate = 0.3
discount_rate = 0.99
lambda = 0.5
c = 20
T = 0.01
SARSA   Q_learning   double_Q_learning   QV_learning
   20   17   44   14
   19   30   31   40
   57   26   18   35
   10   10   12   14
   55   23   15   26
   9   19   11   25
   53   22   42   30
   29   31   49   48
   106   28   53   35
   28   54   30   34
   17   15   34   36
   14   17   19   23
   9   26   17   21
   26   17   20   27
   70   32   25   25
   32   36   21   18
   29   37   13   50
   20   29   26   32
   78   17   18   39
   75   16   31   13
   31   21   26   15
   38   23   27   22
   21   38   56   26
   19   18   34   23
   21   22   40   17
   10   29   22   25
   19   17   15   21
   30   42   27   21
   45   12   13   19
   13   25   18   11
   35   19   26   38
   14   31   25   14
   93   15   49   15
   34   18   17   27
   29   20   23   23
   22   27   21   26
   34   41   11   28
   21   17   34   21
   59   34   24   29
   38   22   13   13
   58   17   11   13
   52   28   29   13
   20   23   50   29
   11   32   20   13
   18   18   11   18
   29   32   41   44
   18   26   46   18
   13   20   12   23
   22   38   16   43
   13   28   30   34
   21   12   30   28
   11   32   21   25
   15   16   18   20
   75   35   33   27
   35   24   22   13
   36   16   27   15
   15   53   27   21
   22   9   17   39
   11   11   19   24
   12   21   48   31
   17   21   33   27
   18   39   20   9
   34   28   30   22
   45   19   19   34
   15   32   19   25
   16   15   23   17
   24   54   28   49
   58   27   26   38
   15   29   19   27
   44   17   25   18
   22   54   43   13
   30   14   33   33
   39   17   11   19
   13   18   20   15
   32   44   19   47
   21   27   17   34
   29   22   60   63
   23   37   32   13
   20   40   32   21
   23   42   17   33
   17   30   18   40
   14   34   11   12
   29   11   17   12
   21   25   28   27
   27   27   17   36
   34   14   12   39
   27   29   19   22
   35   12   37   26
   14   18   23   19
   15   39   23   31
   13   22   41   38
   15   23   32   31
   11   25   31   24
   17   10   32   25
   18   13   13   42
   33   20   15   18
   23   9   19   21
   29   28   13   33
   43   29   18   37
   21   43   51   23
   27   39   13   22
   20   13   13   48
   50   30   16   41
   40   19   30   29
   25   26   11   15
   24   13   43   27
   23   15   26   17
   10   17   29   18
   28   24   19   23
   12   22   22   13
   19   24   21   11
   19   33   23   24
   29   27   24   16
   20   33   30   23
   20   44   17   32
   24   13   40   26
   22   23   15   28
   37   33   19   18
   35   31   15   25
   59   18   21   10
   29   31   28   27
   41   16   27   24
   23   15   35   20
   10   40   11   20
   23   11   29   27
   55   23   11   9
   28   28   11   25
   31   19   25   25
   15   57   50   17
   37   22   33   22
   19   11   13   11
   64   17   32   20
   26   24   11   15
   51   29   15   17
   42   18   37   15
   12   29   18   21
   21   23   15   28
   35   22   44   9
   13   57   23   61
   25   31   34   28
   25   9   21   17
   51   27   48   22
   11   23   23   12
   33   26   11   29
   21   14   32   18
   28   18   13   17
   63   16   13   27
   19   16   16   37
   28   16   21   34
   44   16   17   17
   29   28   28   43
   28   30   22   27
   38   21   24   24
   9   22   23   28
   98   29   29   34
   26   26   57   25
   70   45   13   18
   60   23   17   18
   55   30   19   21
   35   24   27   38
   39   37   17   18
   28   22   42   38
   9   68   30   52
   17   41   40   21
   48   31   22   29
   54   28   43   19
   34   20   25   15
   48   23   23   21
   10   34   14   27
   169   17   39   11
   13   50   60   25
   25   57   27   32
   11   13   23   27
   15   17   16   32
   16   19   19   30
   79   13   25   19
   70   13   28   22
   17   13   24   15
   30   38   15   28
   15   50   22   20
   27   27   27   19
   31   13   40   44
   72   44   28   26
   144   21   25   13
   39   36   29   25
   37   25   16   17
   20   9   35   20
   28   18   22   16
   19   24   37   29
   39   25   18   33
   13   21   25   13
   64   14   15   45
   15   23   24   15
   27   17   15   28
   13   27   21   26
   51   25   27   32
   12   19   19   20
   14   13   23   21
   29   24   12   14
   11   37   17   16
   19   15   13   24
   15   44   19   18
   35   23   25   49
   35   17   25   33
   23   27   40   23
   23   25   11   12
   51   25   21   33
   60   10   19   16
   39   17   20   49
   24   24   22   19
   40   41   33   43
   21   28   21   38
   36   20   20   32
   107   16   21   25
   9   11   24   27
   82   20   15   26
   190   64   17   18
   30   18   19   17
   64   16   59   22
   60   57   29   22
   19   21   37   40
   29   27   12   31
   58   17   22   16
   13   23   47   23
   15   24   30   20
   46   35   21   21
   37   26   21   51
   22   13   33   17
   30   91   27   42
   43   16   23   80
   13   19   21   35
   18   9   38   16
   14   42   37   12
   22   74   19   19
   25   42   17   17
   47   28   19   20
   23   24   16   28
   11   27   20   48
   29   40   33   17
   11   25   15   30
   24   28   9   14
   29   20   34   23
   31   35   18   19
   11   11   31   16
   36   26   18   28
   36   27   22   31
   24   24   31   23
   13   40   25   37
   11   15   15   26
   16   34   47   12
   16   42   36   24
   27   15   39   21
   19   35   16   35
   17   15   15   50
   12   45   40   17
   31   19   28   21
   13   36   15   32
   25   13   11   48
   25   32   27   25
   28   15   19   20
   13   15   22   34
   23   21   15   17
   42   14   21   27
   38   13   11   22
   11   26   21   49
   13   43   32   33
   15   39   34   19
   23   26   15   41
   16   25   23   28
   61   22   14   13
   10   21   48   26
   25   31   35   19
   18   30   24   12
   41   44   13   19
   19   16   23   17
   44   50   19   16
   16   32   18   50
   20   31   19   15
   55   12   36   24
   87   31   20   13
   25   34   19   11
   44   21   34   48
   33   22   11   22
   25   13   21   21
   15   40   48   21
   15   35   46   22
   23   31   14   31
   30   21   38   34
   26   49   15   15
   16   13   29   27
   26   15   29   12
   43   49   28   41
   23   15   37   15
   15   27   41   17
   34   27   35   44
   45   13   25   15
   17   29   15   19
   21   33   17   40
   17   10   38   14
   42   22   11   34
   15   20   19   46
   36   20   13   15
   16   34   40   31
   32   56   19   21
   17   9   35   19
   19   15   25   14
   22   30   26   23
   13   35   18   36
   30   20   43   14
   36   40   13   39
   21   21   28   22
   30   37   11   35
   21   11   25   23
   20   42   48   35
   25   41   13   13
   21   19   60   17
   21   37   11   25
   19   19   25   16
   31   27   23   21
   21   28   25   19
   49   19   27   15
   19   19   23   27
   27   50   29   17
   21   11   12   32
   16   27   24   30
   26   33   22   29
   102   38   23   33
   112   26   17   29
   11   13   26   19
   13   45   25   30
   19   14   30   34
   12   15   23   18
   50   51   48   39
   29   12   21   35
   59   44   17   17
   62   30   15   15
   103   15   16   25
   17   12   18   38
   48   14   13   22
   26   14   29   18
   36   19   28   17
   13   27   13   38
   31   35   10   26
   23   18   20   25
   12   17   22   22
   48   32   36   27
   31   29   15   19
   14   19   29   17
   19   18   21   30
   99   29   25   25
   17   15   15   31
   25   32   23   11
   24   11   25   14
   47   46   25   21
   59   39   53   26
   137   37   37   26
   35   22   19   35
   36   22   24   47
   56   35   15   33
   18   27   15   21
   29   26   19   24
   16   9   18   32
   62   30   19   30
   15   33   23   21
   23   20   27   23
   28   18   35   24
   21   29   46   42
   24   11   25   38
   29   17   33   13
   37   32   27   44
   65   27   36   60
   15   25   39   11
   42   31   27   35
   18   47   26   26
   43   38   15   16
   40   32   17   14
   13   25   37   27
   13   21   31   13
   27   19   17   27
   35   18   19   23
   50   15   24   21
   13   33   22   10
   35   33   9   14
   32   17   30   32
   26   60   17   26
   67   21   10   17
   13   15   26   21
   23   21   25   10
   48   31   13   38
   28   54   21   21
   15   26   15   28
   37   42   15   16
   16   46   12   40
   30   19   25   21
   23   28   36   34
   18   21   47   21
   36   29   18   32
   21   17   30   9
   16   38   23   31
   24   49   27   15
   51   30   18   20
   47   25   17   27
   11   33   19   19
   34   23   26   23
   40   33   62   10
   33   25   21   29
   19   29   28   27
   25   50   23   47
   62   19   15   34
   15   41   30   22
   13   25   18   38
   24   16   20   34
   17   14   23   23
   35   31   26   21
   17   20   11   26
   33   34   29   14
   10   32   19   15
   51   37   20   25
   22   17   35   26
   62   44   22   27
   30   22   25   13
   21   15   28   12
   22   13   17   33
   23   41   31   21
   15   20   31   44
   29   38   17   47
   21   20   27   26
   45   26   24   21
   44   27   18   48
   37   23   31   15
   39   39   26   18
   20   41   25   64
   24   25   17   13
   11   20   17   15
   12   21   23   17
   25   39   18   17
   22   18   19   64
   22   23   27   37
   41   27   24   23
   31   27   15   38
   17   20   35   26
   19   15   40   15
   13   29   26   50
   54   36   17   24
   29   20   16   11
   27   20   33   18
